,id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
80,zilliqa,81,ZIL,Zilliqa,15867699446.7699,21000000000.0,323026702.4159234,11892124.974855088,0.0203575006887139,-6.935830563527919,0.0209238430629411,https://etherscan.io/token/0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27
81,convex-finance,82,CVX,Convex Finance,78644747.70408925,100000000.0,314819871.45731026,142787.9201327475,4.003062895463275,-4.779608146575717,4.045351488065921,https://etherscan.io/token/0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b
82,pancakeswap,83,CAKE,PancakeSwap,212754179.13027564,750000000.0,311762944.858481,6290812.380208252,1.4653669607475932,-4.338207763449866,1.486192762870601,https://bscscan.com/token/0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82
83,loopring,84,LRC,Loopring,1331523612.2462103,1374513896.0,301903580.40051013,6346374.28521591,0.2267354312186884,-5.916934029220992,0.230582184714405,https://etherscan.io/token/0xEF68e7C694F40c8202821eDF525dE3782458639f
84,qtum,85,QTUM,Qtum,104728391.5,107822406.0,298328087.5089671,16626700.287372911,2.848588460455512,-0.6573486897227798,2.796477807754539,https://qtum.info/
85,gnosis-gno,86,GNO,Gnosis,2589588.0,3000000.0,293293282.9433508,565157.6321476887,113.25866622155756,-4.000941239833334,114.25987711736452,https://etherscan.io/token/Gnosis
86,enjin-coin,87,ENJ,Enjin Coin,1000000000.0,1000000000.0,292663898.190081,3758096.799366979,0.292663898190081,-6.956999042090039,0.300178229083546,https://etherscan.io/token/0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c
87,1inch,88,1INCH,1inch Network,944395357.4992654,,286875495.08576053,5398429.4319081195,0.3037663122840835,-6.039914945506262,0.3084438932196039,https://etherscan.io/token/0x111111111117dc0aa78b770fa6a738034120c302
88,singularitynet,89,AGIX,SingularityNET,1223948696.8849297,2000000000.0,284735428.2544444,2285307.06408715,0.2326367346761545,-4.8135068547290825,0.2342013120374121,https://etherscan.io/token/0x8eb24319393716668d768dcec29356ae9cffe285
89,dydx,90,DYDX,dYdX,156256174.0,1000000000.0,284644599.8203458,15658125.954479096,1.821653458764105,-5.377872949142796,1.8467724675317967,
90,basic-attention-token,91,BAT,Basic Attention Token,1489309693.7326057,1500000000.0,279204005.7970525,6149069.9560959125,0.1874720932603971,-7.465780399612495,0.1925096767231105,https://etherscan.io/token/Bat
91,mask-network,92,MASK,Mask Network,82112500.0,100000000.0,273537119.9250159,10943735.563625224,3.3312482256053086,-4.105569156824058,3.35111651934158,https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074
92,oasis-network,93,ROSE,Oasis Network,5725718533.0,10000000000.0,272610857.19009435,7647411.295485341,0.0476116413370497,-5.840398389459077,0.0485517493548594,https://www.oasisscan.com/
93,celo,94,CELO,Celo,505091663.0,1000000000.0,251601001.75023705,4984846.447667924,0.4981293895366415,-5.482135340981558,0.5060304442394564,https://explorer.celo.org/blocks
94,ravencoin,95,RVN,Ravencoin,12722138249.805597,21000000000.0,249980075.4544195,4287855.659324958,0.0196492185940708,-4.656448505583503,0.0199647321692833,https://ravencoin.network/
95,nem,96,XEM,NEM,8999999999.0,8999999999.0,247520143.54587415,4849216.741157536,0.0275022381748196,-5.580355264456216,0.0279633449770321,http://nembex.nem.ninja/
96,decred,97,DCR,Decred,15314150.13427157,21000000.0,242645980.5912465,438316.8257924593,15.844560649058057,-7.100614470034084,16.324219895775094,https://mainnet.decred.org/
97,bitcoin-gold,98,BTG,Bitcoin Gold,17513923.589,21000000.0,240534444.75882062,546190.116466378,13.733898263087863,-8.030184969930525,14.181028923633919,https://explorer.bitcoingold.org/insight/
98,balancer,99,BAL,Balancer,50765111.11671286,96150704.0,233750703.84708035,975405.8119428413,4.604554165353242,-5.833822508551847,4.703725144266375,https://etherscan.io/token/0xba100000625a3754423978a60c9317c58a424e3D
99,nxm,100,NXM,NXM,6594067.84129139,,232190222.6371906,723987.4462125534,35.211985715894336,1.4944719237564705,28.062854223895854,https://etherscan.io/token/0xd7c49cee7e9188cca6ad8ff264c1da2e69d4cf3b
